127.0.0.1 - - [14/Feb/2023:23:50:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:51:05 +0900] "GET /freeeat/views/common/mainPage.jsp HTTP/1.1" 200 30417
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:51:05 +0900] "GET /freeeat/resources/image/freeeatlogo.png HTTP/1.1" 200 27194
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:51:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:51:27 +0900] "GET /freeeat/selectList.hj?keyword=%EB%B9%84%EA%B1%B4%EC%9D%B4%EB%A0%88&cpage=1 HTTP/1.1" 200 23558
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:51:30 +0900] "GET /freeeat/placeDetail.mr?placeNo=44 HTTP/1.1" 200 68570
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:51:30 +0900] "GET /freeeat/resources/review_upfiles/Freeeat_20221210092549_97528.png HTTP/1.1" 200 11064
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:51:30 +0900] "GET /freeeat/resources/review_upfiles/Freeeat_20221210092549_92058.png HTTP/1.1" 200 13504
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:51:30 +0900] "GET /freeeat/resources/review_upfiles/Freeeat_20221210092549_47295.png HTTP/1.1" 200 24763
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:51:30 +0900] "GET /freeeat/resources/image/left-btn3.png HTTP/1.1" 200 13940
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:51:30 +0900] "GET /freeeat/resources/image/right-btn2.png HTTP/1.1" 200 13582
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:51:30 +0900] "GET /freeeat/resources/image/star1.png HTTP/1.1" 200 24763
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:51:30 +0900] "GET /freeeat/resources/image/star2.png HTTP/1.1" 200 13269
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:51:30 +0900] "GET /freeeat/resources/image/plus.png HTTP/1.1" 200 10401
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:51:30 +0900] "GET /freeeat/resources/review_upfiles/Freeeat_20221206232527_22076.png HTTP/1.1" 200 37644
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:51:30 +0900] "GET /freeeat/resources/review_upfiles/Freeeat_20221206203832_40844.png HTTP/1.1" 200 27194
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:51:30 +0900] "GET /freeeat/resources/review_upfiles/Freeeat_20221206203832_49491.png HTTP/1.1" 200 11064
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:51:30 +0900] "GET /freeeat/resources/review_upfiles/Freeeat_20221206202739_57875.JPG HTTP/1.1" 200 104674
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:51:30 +0900] "GET /freeeat/resources/review_upfiles/Freeeat_20221206202739_88715.png HTTP/1.1" 200 32213
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:51:30 +0900] "GET /freeeat/resources/review_upfiles/Freeeat_20221206202739_70536.JPG HTTP/1.1" 200 104674
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:51:30 +0900] "GET /freeeat/resources/review_upfiles/Freeeat_20221206202739_86389.JPG HTTP/1.1" 200 104674
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:51:31 +0900] "GET /freeeat/photoList.mr?placeNo=44 HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:53:28 +0900] "GET /freeeat/views/member/loginEnrollForm.jsp HTTP/1.1" 200 20972
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:53:31 +0900] "POST /freeeat/login.yj HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:53:31 +0900] "GET /freeeat/views/common/mainPage.jsp HTTP/1.1" 200 30492
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:53:36 +0900] "GET /freeeat/selectList.hj?keyword=%EB%B9%84%EA%B1%B4%EC%9D%B4%EB%A0%88&cpage=1 HTTP/1.1" 200 23633
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:53:37 +0900] "GET /freeeat/placeDetail.mr?placeNo=44 HTTP/1.1" 200 87154
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:53:37 +0900] "GET /freeeat/resources/image/free-icon-vegan.png HTTP/1.1" 200 37644
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:53:37 +0900] "GET /freeeat/resources/image/no-milk.png HTTP/1.1" 200 45470
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:53:37 +0900] "GET /freeeat/resources/image/sugar-free.png HTTP/1.1" 200 48044
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:53:37 +0900] "GET /freeeat/resources/image/gluten-free.png HTTP/1.1" 200 50721
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:53:37 +0900] "GET /freeeat/resources/image/animal-%20welfare.png HTTP/1.1" 200 32213
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:53:37 +0900] "GET /freeeat/photoList.mr?placeNo=44 HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:55:32 +0900] "POST /freeeat/review.mr HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:55:33 +0900] "GET /freeeat/placeDetail.mr?placeNo=44 HTTP/1.1" 200 90841
0:0:0:0:0:0:0:1 - - [14/Feb/2023:23:55:33 +0900] "GET /freeeat/resources/review_upfiles/Freeeat_20230214235532_85315.jpeg HTTP/1.1" 200 720582
