127.0.0.1 - - [02/Feb/2023:12:49:21 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:49:29 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 500 31522
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:49:29 +0900] "GET /freeeat/resources/image/freeeatlogo.png HTTP/1.1" 200 27194
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:49:36 +0900] "GET /freeeat/views/common/mainPage.jsp HTTP/1.1" 200 30417
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:49:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:49:47 +0900] "GET /freeeat/selectList.hj?keyword=%EB%B0%B1&cpage=1 HTTP/1.1" 200 23665
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:49:50 +0900] "GET /freeeat/placeDetail.mr?placeNo=1 HTTP/1.1" 200 70765
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:49:50 +0900] "GET /freeeat/resources/review_upfiles/Freeeat_20221210152916_79267.png HTTP/1.1" 200 14522
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:49:50 +0900] "GET /freeeat/resources/image/plus.png HTTP/1.1" 200 10401
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:49:50 +0900] "GET /freeeat/resources/review_upfiles/Freeeat_20221206201129_65405.jpg HTTP/1.1" 200 3875429
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:49:50 +0900] "GET /freeeat/resources/image/star1.png HTTP/1.1" 200 24763
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:49:50 +0900] "GET /freeeat/resources/image/star2.png HTTP/1.1" 200 13269
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:49:50 +0900] "GET /freeeat/resources/image/right-btn2.png HTTP/1.1" 200 13582
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:49:50 +0900] "GET /freeeat/resources/image/left-btn3.png HTTP/1.1" 200 13940
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:49:50 +0900] "GET /freeeat/photoList.mr?placeNo=1 HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:50:45 +0900] "GET /freeeat/views/member/loginEnrollForm.jsp HTTP/1.1" 200 20972
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:50:48 +0900] "POST /freeeat/login.yj HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:50:48 +0900] "GET /freeeat/views/common/mainPage.jsp HTTP/1.1" 200 30492
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:51:07 +0900] "GET /freeeat/selectList.hj?keyword=%EB%B9%84%EA%B1%B4&cpage=1 HTTP/1.1" 200 42110
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:51:13 +0900] "GET /freeeat/selectList.hj?keyword=%EC%B9%A0%EB%B0%B1&cpage=1 HTTP/1.1" 200 23743
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:51:15 +0900] "GET /freeeat/placeDetail.mr?placeNo=1 HTTP/1.1" 200 89768
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:51:15 +0900] "GET /freeeat/resources/image/free-icon-vegan.png HTTP/1.1" 200 37644
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:51:15 +0900] "GET /freeeat/resources/image/no-milk.png HTTP/1.1" 200 45470
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:51:15 +0900] "GET /freeeat/resources/image/gluten-free.png HTTP/1.1" 200 50721
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:51:15 +0900] "GET /freeeat/resources/image/sugar-free.png HTTP/1.1" 200 48044
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:51:15 +0900] "GET /freeeat/resources/image/animal-%20welfare.png HTTP/1.1" 200 32213
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:51:15 +0900] "GET /freeeat/photoList.mr?placeNo=1 HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:51:25 +0900] "GET /freeeat/likeInsert.mr?placeNo=1&memNo=319&likeStatus=1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:51:27 +0900] "GET /freeeat/likeInsert.mr?placeNo=1&memNo=319&likeStatus=0 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:51:30 +0900] "GET /freeeat/likeInsert.mr?placeNo=1&memNo=319&likeStatus=1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:51:30 +0900] "GET /freeeat/likeInsert.mr?placeNo=1&memNo=319&likeStatus=0 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [02/Feb/2023:12:51:36 +0900] "GET /freeeat/reviewLike.mr?reviewNo=10&memNo=319&likeStatus=0 HTTP/1.1" 200 34
